"Status","Year","Disability","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","510","475","31040","29290"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","1000","945","31740","29290"
"In post","2021","Declared disabled","Cheshire","405","365","29170","27570"
"In post","2021","Declared disabled","Cornwall and Isles of Scilly","210","185","26460","27570"
"In post","2021","Declared disabled","Cumbria","240","215","27770","25790"
"In post","2021","Declared disabled","Derbyshire and Nottinghamshire","1550","1420","29570","27570"
"In post","2021","Declared disabled","Devon","960","855","28680","27570"
"In post","2021","Declared disabled","Dorset and Somerset","590","540","28750","27570"
"In post","2021","Declared disabled","East Anglia","1360","1245","29280","27570"
"In post","2021","Declared disabled","East Wales","1785","1635","31210","27570"
"In post","2021","Declared disabled","East Yorkshire and Northern Lincolnshire","500","445","27030","27130"
"In post","2021","Declared disabled","Eastern Scotland","1920","1785","32610","27570"
"In post","2021","Declared disabled","Essex","710","640","30210","29290"
"In post","2021","Declared disabled","Gloucestershire, Wiltshire and Bath/Bristol area","3000","2815","34510","31810"
"In post","2021","Declared disabled","Greater Manchester","2140","1965","29600","27570"
"In post","2021","Declared disabled","Hampshire and Isle of Wight","1675","1520","30410","27570"
"In post","2021","Declared disabled","Herefordshire, Worcestershire and Warwickshire","440","400","27770","27380"
"In post","2021","Declared disabled","Highlands and Islands","165","155","28210","27570"
"In post","2021","Declared disabled","Inner London - East","1570","1480","37760","31880"
"In post","2021","Declared disabled","Inner London - West","5180","5010","44730","39800"
"In post","2021","Declared disabled","Kent","955","885","29540","29290"
"In post","2021","Declared disabled","Lancashire","1945","1730","27100","27130"
"In post","2021","Declared disabled","Leicestershire, Rutland and Northamptonshire","740","665","26250","24800"
"In post","2021","Declared disabled","Lincolnshire","390","360","28200","27570"
"In post","2021","Declared disabled","Merseyside","2280","2020","27850","25560"
"In post","2021","Declared disabled","North Eastern Scotland","130","125","33610","27570"
"In post","2021","Declared disabled","North Yorkshire","455","425","32500","27570"
"In post","2021","Declared disabled","Northern Ireland","325","300","27380","25560"
"In post","2021","Declared disabled","Northumberland and Tyne and Wear","2325","2035","26830","25560"
"In post","2021","Declared disabled","Outer London - East and North East","490","450","30220","31060"
"In post","2021","Declared disabled","Outer London - South","1080","1000","36060","31170"
"In post","2021","Declared disabled","Outer London - West and North West","880","805","32000","31060"
"In post","2021","Declared disabled","Overseas","225","225","48160","45750"
"In post","2021","Declared disabled","Shropshire and Staffordshire","1060","980","29310","27570"
"In post","2021","Declared disabled","South Yorkshire","1235","1100","30070","27570"
"In post","2021","Declared disabled","Southern Scotland","505","445","28820","26140"
"In post","2021","Declared disabled","Surrey, East and West Sussex","940","850","28990","27570"
"In post","2021","Declared disabled","Tees Valley and Durham","1095","970","27270","27130"
"In post","2021","Declared disabled","Unknown","195","180","31390","27570"
"In post","2021","Declared disabled","West Central Scotland","1740","1555","28390","26160"
"In post","2021","Declared disabled","West Midlands","2100","1895","28930","27570"
"In post","2021","Declared disabled","West Wales and The Valleys","1760","1525","26100","22810"
"In post","2021","Declared disabled","West Yorkshire","1800","1620","30250","27570"
"In post","2021","Declared non-disabled","Bedfordshire and Hertfordshire","3125","2910","32360","29290"
"In post","2021","Declared non-disabled","Berkshire, Buckinghamshire and Oxfordshire","6390","6080","32810","29440"
"In post","2021","Declared non-disabled","Cheshire","2245","2100","30880","27570"
"In post","2021","Declared non-disabled","Cornwall and Isles of Scilly","1180","1075","26500","26670"
"In post","2021","Declared non-disabled","Cumbria","1680","1525","27630","24920"
"In post","2021","Declared non-disabled","Derbyshire and Nottinghamshire","8045","7420","31740","27570"
"In post","2021","Declared non-disabled","Devon","6600","6060","32260","27570"
"In post","2021","Declared non-disabled","Dorset and Somerset","3540","3285","29520","27570"
"In post","2021","Declared non-disabled","East Anglia","8530","7935","29920","27570"
"In post","2021","Declared non-disabled","East Wales","13505","12620","33660","28850"
"In post","2021","Declared non-disabled","East Yorkshire and Northern Lincolnshire","3345","3045","27960","27130"
"In post","2021","Declared non-disabled","Eastern Scotland","10115","9500","35320","29190"
"In post","2021","Declared non-disabled","Essex","3850","3525","30820","29290"
"In post","2021","Declared non-disabled","Gloucestershire, Wiltshire and Bath/Bristol area","20350","19320","36550","33300"
"In post","2021","Declared non-disabled","Greater Manchester","13110","12300","31470","27570"
"In post","2021","Declared non-disabled","Hampshire and Isle of Wight","9775","9075","32620","28650"
"In post","2021","Declared non-disabled","Herefordshire, Worcestershire and Warwickshire","2865","2680","27900","26300"
"In post","2021","Declared non-disabled","Highlands and Islands","1395","1315","28910","27570"
"In post","2021","Declared non-disabled","Inner London - East","11005","10465","42400","36160"
"In post","2021","Declared non-disabled","Inner London - West","39470","38310","47970","43200"
"In post","2021","Declared non-disabled","Kent","5935","5535","29490","28130"
"In post","2021","Declared non-disabled","Lancashire","9795","8905","28690","27570"
"In post","2021","Declared non-disabled","Leicestershire, Rutland and Northamptonshire","4240","3865","27860","26780"
"In post","2021","Declared non-disabled","Lincolnshire","1970","1860","28080","26750"
"In post","2021","Declared non-disabled","Merseyside","13435","12250","28750","25560"
"In post","2021","Declared non-disabled","North Eastern Scotland","1050","990","38600","31060"
"In post","2021","Declared non-disabled","North Yorkshire","3330","3155","34130","29840"
"In post","2021","Declared non-disabled","Northern Ireland","2315","2180","28650","25560"
"In post","2021","Declared non-disabled","Northumberland and Tyne and Wear","13965","12520","28990","25560"
"In post","2021","Declared non-disabled","Outer London - East and North East","2615","2430","30860","31060"
"In post","2021","Declared non-disabled","Outer London - South","7700","7290","37900","33900"
"In post","2021","Declared non-disabled","Outer London - West and North West","6495","6015","32620","31060"
"In post","2021","Declared non-disabled","Overseas","2570","2560","49430","47490"
"In post","2021","Declared non-disabled","Shropshire and Staffordshire","5620","5230","29970","27570"
"In post","2021","Declared non-disabled","South Yorkshire","7275","6615","31540","27570"
"In post","2021","Declared non-disabled","Southern Scotland","3475","3140","30290","27570"
"In post","2021","Declared non-disabled","Surrey, East and West Sussex","5840","5325","30640","27570"
"In post","2021","Declared non-disabled","Tees Valley and Durham","6355","5735","28170","26630"
"In post","2021","Declared non-disabled","Unknown","1015","950","32960","27570"
"In post","2021","Declared non-disabled","West Central Scotland","10930","10075","30500","27570"
"In post","2021","Declared non-disabled","West Midlands","12330","11330","31020","27570"
"In post","2021","Declared non-disabled","West Wales and The Valleys","11475","10395","29310","26780"
"In post","2021","Declared non-disabled","West Yorkshire","11045","10160","31770","27570"
"In post","2021","Undeclared","Bedfordshire and Hertfordshire","255","240","32400","29870"
"In post","2021","Undeclared","Berkshire, Buckinghamshire and Oxfordshire","730","685","33340","33000"
"In post","2021","Undeclared","Cheshire","280","260","30710","31650"
"In post","2021","Undeclared","Cornwall and Isles of Scilly","95","90","27270","26670"
"In post","2021","Undeclared","Cumbria","110","105","29680","26810"
"In post","2021","Undeclared","Derbyshire and Nottinghamshire","790","725","30580","28330"
"In post","2021","Undeclared","Devon","450","415","29360","27570"
"In post","2021","Undeclared","Dorset and Somerset","400","375","30800","29240"
"In post","2021","Undeclared","East Anglia","1115","1035","31010","30980"
"In post","2021","Undeclared","East Wales","975","910","31400","28750"
"In post","2021","Undeclared","East Yorkshire and Northern Lincolnshire","415","385","30460","31650"
"In post","2021","Undeclared","Eastern Scotland","540","505","31760","27570"
"In post","2021","Undeclared","Essex","360","335","31560","29290"
"In post","2021","Undeclared","Gloucestershire, Wiltshire and Bath/Bristol area","1870","1780","37850","36300"
"In post","2021","Undeclared","Greater Manchester","1200","1115","30490","27570"
"In post","2021","Undeclared","Hampshire and Isle of Wight","1185","1110","32810","31650"
"In post","2021","Undeclared","Herefordshire, Worcestershire and Warwickshire","405","380","30000","30880"
"In post","2021","Undeclared","Highlands and Islands","40","40","27750","26800"
"In post","2021","Undeclared","Inner London - East","1005","930","40250","35320"
"In post","2021","Undeclared","Inner London - West","3660","3580","45350","40940"
"In post","2021","Undeclared","Kent","775","715","30430","29290"
"In post","2021","Undeclared","Lancashire","1005","915","28580","27570"
"In post","2021","Undeclared","Leicestershire, Rutland and Northamptonshire","450","415","27940","27570"
"In post","2021","Undeclared","Lincolnshire","260","240","29010","27570"
"In post","2021","Undeclared","Merseyside","865","790","29880","27570"
"In post","2021","Undeclared","North Eastern Scotland","55","55","42700","30360"
"In post","2021","Undeclared","North Yorkshire","325","315","32560","30810"
"In post","2021","Undeclared","Northern Ireland","210","195","28570","26550"
"In post","2021","Undeclared","Northumberland and Tyne and Wear","965","885","29020","26090"
"In post","2021","Undeclared","Outer London - East and North East","300","285","31390","31060"
"In post","2021","Undeclared","Outer London - South","570","540","38230","35030"
"In post","2021","Undeclared","Outer London - West and North West","550","515","34750","31060"
"In post","2021","Undeclared","Overseas","165","165","47110","41800"
"In post","2021","Undeclared","Shropshire and Staffordshire","650","600","29740","27570"
"In post","2021","Undeclared","South Yorkshire","595","555","32060","30200"
"In post","2021","Undeclared","Southern Scotland","160","140","30480","27570"
"In post","2021","Undeclared","Surrey, East and West Sussex","680","630","31270","29290"
"In post","2021","Undeclared","Tees Valley and Durham","800","720","29580","30450"
"In post","2021","Undeclared","Unknown","55","55","31670","27570"
"In post","2021","Undeclared","West Central Scotland","640","590","29480","26670"
"In post","2021","Undeclared","West Midlands","895","830","30530","27570"
"In post","2021","Undeclared","West Wales and The Valleys","955","860","28730","26350"
"In post","2021","Undeclared","West Yorkshire","945","865","30740","28130"
"In post","2021","Unknown","Bedfordshire and Hertfordshire","650","630","34180","30990"
"In post","2021","Unknown","Berkshire, Buckinghamshire and Oxfordshire","1470","1410","33880","30400"
"In post","2021","Unknown","Cheshire","975","960","33280","32770"
"In post","2021","Unknown","Cornwall and Isles of Scilly","160","145","27000","21960"
"In post","2021","Unknown","Cumbria","110","105","32250","29370"
"In post","2021","Unknown","Derbyshire and Nottinghamshire","1910","1820","28990","25560"
"In post","2021","Unknown","Devon","1005","960","28280","24500"
"In post","2021","Unknown","Dorset and Somerset","675","635","30390","26740"
"In post","2021","Unknown","East Anglia","1460","1385","31510","27570"
"In post","2021","Unknown","East Wales","4115","3890","29670","25560"
"In post","2021","Unknown","East Yorkshire and Northern Lincolnshire","445","430","25750","24880"
"In post","2021","Unknown","Eastern Scotland","7260","6860","33540","30160"
"In post","2021","Unknown","Essex","670","630","30800","26760"
"In post","2021","Unknown","Gloucestershire, Wiltshire and Bath/Bristol area","4090","3915","36850","33300"
"In post","2021","Unknown","Greater Manchester","3260","3120","29910","25560"
"In post","2021","Unknown","Hampshire and Isle of Wight","2720","2465","31030","27030"
"In post","2021","Unknown","Herefordshire, Worcestershire and Warwickshire","275","270","26710","24000"
"In post","2021","Unknown","Highlands and Islands","350","320","28750","27570"
"In post","2021","Unknown","Inner London - East","3615","3505","43300","37560"
"In post","2021","Unknown","Inner London - West","12835","12585","45540","40050"
"In post","2021","Unknown","Kent","860","830","30030","27850"
"In post","2021","Unknown","Lancashire","1365","1265","26480","22350"
"In post","2021","Unknown","Leicestershire, Rutland and Northamptonshire","825","770","25860","22850"
"In post","2021","Unknown","Lincolnshire","205","200","27190","23150"
"In post","2021","Unknown","Merseyside","2900","2700","28610","24880"
"In post","2021","Unknown","North Eastern Scotland","625","590","32110","29350"
"In post","2021","Unknown","North Yorkshire","610","580","31280","26670"
"In post","2021","Unknown","Northern Ireland","965","915","26460","22330"
"In post","2021","Unknown","Northumberland and Tyne and Wear","4115","3690","26640","21440"
"In post","2021","Unknown","Outer London - East and North East","375","365","29160","30470"
"In post","2021","Unknown","Outer London - South","1390","1345","36310","32520"
"In post","2021","Unknown","Outer London - West and North West","1130","1080","37260","31060"
"In post","2021","Unknown","Overseas","795","795","52670","51870"
"In post","2021","Unknown","Shropshire and Staffordshire","975","930","29990","25560"
"In post","2021","Unknown","South Yorkshire","830","805","31430","27570"
"In post","2021","Unknown","Southern Scotland","1880","1710","27900","24110"
"In post","2021","Unknown","Surrey, East and West Sussex","845","800","30930","27960"
"In post","2021","Unknown","Tees Valley and Durham","990","945","25470","22350"
"In post","2021","Unknown","Unknown","2465","2460","37220","32700"
"In post","2021","Unknown","West Central Scotland","4605","4335","31980","29350"
"In post","2021","Unknown","West Midlands","2880","2750","31380","27560"
"In post","2021","Unknown","West Wales and The Valleys","1525","1420","26680","22350"
"In post","2021","Unknown","West Yorkshire","3465","3320","31000","25560"
"Leaver CS","2021","Declared disabled","Bedfordshire and Hertfordshire","60","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","80","[c]","28530","27570"
"Leaver CS","2021","Declared disabled","Cheshire","20","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Cornwall and Isles of Scilly","15","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Cumbria","5","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Derbyshire and Nottinghamshire","80","[c]","26960","26550"
"Leaver CS","2021","Declared disabled","Devon","60","[c]","25290","21580"
"Leaver CS","2021","Declared disabled","Dorset and Somerset","50","[c]","27700","26740"
"Leaver CS","2021","Declared disabled","East Anglia","115","[c]","28040","26990"
"Leaver CS","2021","Declared disabled","East Wales","135","[c]","31110","25030"
"Leaver CS","2021","Declared disabled","East Yorkshire and Northern Lincolnshire","45","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Eastern Scotland","110","[c]","28750","27570"
"Leaver CS","2021","Declared disabled","Essex","40","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Gloucestershire, Wiltshire and Bath/Bristol area","165","[c]","29650","26500"
"Leaver CS","2021","Declared disabled","Greater Manchester","105","[c]","29750","25720"
"Leaver CS","2021","Declared disabled","Hampshire and Isle of Wight","105","[c]","26810","25480"
"Leaver CS","2021","Declared disabled","Herefordshire, Worcestershire and Warwickshire","35","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Highlands and Islands","10","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Inner London - East","85","[c]","34230","31490"
"Leaver CS","2021","Declared disabled","Inner London - West","230","[c]","43690","37440"
"Leaver CS","2021","Declared disabled","Kent","60","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Lancashire","85","[c]","31290","27570"
"Leaver CS","2021","Declared disabled","Leicestershire, Rutland and Northamptonshire","70","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Lincolnshire","30","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Merseyside","95","[c]","26010","24310"
"Leaver CS","2021","Declared disabled","North Eastern Scotland","15","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","North Yorkshire","20","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Northern Ireland","20","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Northumberland and Tyne and Wear","150","[c]","25860","21010"
"Leaver CS","2021","Declared disabled","Outer London - East and North East","30","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Outer London - South","50","[c]","33000","29500"
"Leaver CS","2021","Declared disabled","Outer London - West and North West","55","[c]","29170","28100"
"Leaver CS","2021","Declared disabled","Overseas","10","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Shropshire and Staffordshire","60","[c]","25090","26000"
"Leaver CS","2021","Declared disabled","South Yorkshire","90","[c]","28440","26120"
"Leaver CS","2021","Declared disabled","Southern Scotland","20","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Surrey, East and West Sussex","55","[c]","25210","22360"
"Leaver CS","2021","Declared disabled","Tees Valley and Durham","65","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","West Central Scotland","75","[c]","27790","26720"
"Leaver CS","2021","Declared disabled","West Midlands","150","[c]","26900","26000"
"Leaver CS","2021","Declared disabled","West Wales and The Valleys","110","[c]","23560","21590"
"Leaver CS","2021","Declared disabled","West Yorkshire","95","[c]","28030","27570"
"Leaver CS","2021","Declared non-disabled","Bedfordshire and Hertfordshire","250","[c]","30890","25740"
"Leaver CS","2021","Declared non-disabled","Berkshire, Buckinghamshire and Oxfordshire","380","[c]","33330","29330"
"Leaver CS","2021","Declared non-disabled","Cheshire","100","[c]","26320","21010"
"Leaver CS","2021","Declared non-disabled","Cornwall and Isles of Scilly","50","[c]","26070","22080"
"Leaver CS","2021","Declared non-disabled","Cumbria","60","[c]","29000","26890"
"Leaver CS","2021","Declared non-disabled","Derbyshire and Nottinghamshire","365","[c]","27390","23200"
"Leaver CS","2021","Declared non-disabled","Devon","365","[c]","26430","21580"
"Leaver CS","2021","Declared non-disabled","Dorset and Somerset","210","[c]","29380","27130"
"Leaver CS","2021","Declared non-disabled","East Anglia","565","[c]","30310","26670"
"Leaver CS","2021","Declared non-disabled","East Wales","650","[c]","34770","27570"
"Leaver CS","2021","Declared non-disabled","East Yorkshire and Northern Lincolnshire","275","[c]","28690","27130"
"Leaver CS","2021","Declared non-disabled","Eastern Scotland","480","[c]","34580","27570"
"Leaver CS","2021","Declared non-disabled","Essex","190","[c]","29490","25110"
"Leaver CS","2021","Declared non-disabled","Gloucestershire, Wiltshire and Bath/Bristol area","870","[c]","34910","30420"
"Leaver CS","2021","Declared non-disabled","Greater Manchester","590","[c]","30650","26120"
"Leaver CS","2021","Declared non-disabled","Hampshire and Isle of Wight","480","[c]","30600","27570"
"Leaver CS","2021","Declared non-disabled","Herefordshire, Worcestershire and Warwickshire","150","[c]","24430","21470"
"Leaver CS","2021","Declared non-disabled","Highlands and Islands","55","[c]","27850","26530"
"Leaver CS","2021","Declared non-disabled","Inner London - East","590","[c]","43330","35200"
"Leaver CS","2021","Declared non-disabled","Inner London - West","1625","[c]","47010","40470"
"Leaver CS","2021","Declared non-disabled","Kent","330","[c]","27180","25110"
"Leaver CS","2021","Declared non-disabled","Lancashire","450","[c]","26290","21010"
"Leaver CS","2021","Declared non-disabled","Leicestershire, Rutland and Northamptonshire","365","[c]","26740","22350"
"Leaver CS","2021","Declared non-disabled","Lincolnshire","210","[c]","28710","27680"
"Leaver CS","2021","Declared non-disabled","Merseyside","500","[c]","27300","24110"
"Leaver CS","2021","Declared non-disabled","North Eastern Scotland","95","[c]","38450","29600"
"Leaver CS","2021","Declared non-disabled","North Yorkshire","140","[c]","35330","27570"
"Leaver CS","2021","Declared non-disabled","Northern Ireland","120","[c]","25450","21430"
