"Status","Year","Region_ITL1","Region_london","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Outside London","Female","Heterosexual / straight","8075","7240","29010","27130"
"In post","2021","East Midlands (England)","Outside London","Female","LGBO","440","425","29140","27570"
"In post","2021","East Midlands (England)","Outside London","Female","Undeclared","1115","985","28720","27130"
"In post","2021","East Midlands (England)","Outside London","Female","Unknown","2390","2100","27480","25780"
"In post","2021","East Midlands (England)","Outside London","Male","Heterosexual / straight","6065","5880","31200","27570"
"In post","2021","East Midlands (England)","Outside London","Male","LGBO","345","335","29750","27570"
"In post","2021","East Midlands (England)","Outside London","Male","Undeclared","895","850","31800","28170"
"In post","2021","East Midlands (England)","Outside London","Male","Unknown","2040","1950","28740","27130"
"In post","2021","East Midlands (England)","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Outside London","Female","Heterosexual / straight","8525","7710","29650","27570"
"In post","2021","East of England","Outside London","Female","LGBO","410","390","29020","27570"
"In post","2021","East of England","Outside London","Female","Undeclared","1100","985","29620","27570"
"In post","2021","East of England","Outside London","Female","Unknown","2140","1870","29810","27570"
"In post","2021","East of England","Outside London","Male","Heterosexual / straight","7105","6855","32230","29290"
"In post","2021","East of England","Outside London","Male","LGBO","330","325","29920","27570"
"In post","2021","East of England","Outside London","Male","Undeclared","1095","1045","32640","31000"
"In post","2021","East of England","Outside London","Male","Unknown","1890","1810","31490","29290"
"In post","2021","East of England","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","London","London","Female","Heterosexual / straight","36890","34860","42260","36360"
"In post","2021","London","London","Female","LGBO","2135","2080","42250","36650"
"In post","2021","London","London","Female","Undeclared","4645","4350","40830","35200"
"In post","2021","London","London","Female","Unknown","11590","10905","41280","34550"
"In post","2021","London","London","Male","Heterosexual / straight","29405","28870","45100","39600"
"In post","2021","London","London","Male","LGBO","2965","2930","46700","41950"
"In post","2021","London","London","Male","Undeclared","4380","4265","45120","40220"
"In post","2021","London","London","Male","Unknown","9890","9720","44320","37230"
"In post","2021","London","London","Unknown","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","London","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","London","London","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","London","London","Unknown","Unknown","10","10","[c]","[c]"
"In post","2021","North East (England)","Outside London","Female","Heterosexual / straight","11860","10285","27940","25560"
"In post","2021","North East (England)","Outside London","Female","LGBO","505","475","27790","25560"
"In post","2021","North East (England)","Outside London","Female","Undeclared","1165","990","27330","24880"
"In post","2021","North East (England)","Outside London","Female","Unknown","4515","3765","25210","21440"
"In post","2021","North East (England)","Outside London","Male","Heterosexual / straight","7770","7445","30110","27570"
"In post","2021","North East (England)","Outside London","Male","LGBO","495","475","28850","26810"
"In post","2021","North East (England)","Outside London","Male","Undeclared","990","940","30310","27570"
"In post","2021","North East (England)","Outside London","Male","Unknown","3315","3130","28190","25560"
"In post","2021","North East (England)","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Outside London","Female","Heterosexual / straight","23050","20685","29180","27370"
"In post","2021","North West (England)","Outside London","Female","LGBO","1085","1040","28910","26550"
"In post","2021","North West (England)","Outside London","Female","Undeclared","2515","2205","28600","27130"
"In post","2021","North West (England)","Outside London","Female","Unknown","7475","6480","26900","25430"
"In post","2021","North West (England)","Outside London","Male","Heterosexual / straight","15925","15400","31120","27570"
"In post","2021","North West (England)","Outside London","Male","LGBO","1200","1170","29940","27570"
"In post","2021","North West (England)","Outside London","Male","Undeclared","2100","2000","31240","27570"
"In post","2021","North West (England)","Outside London","Male","Unknown","5990","5725","29220","27130"
"In post","2021","North West (England)","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Outside London","Female","Heterosexual / straight","1225","1110","29200","25560"
"In post","2021","Northern Ireland","Outside London","Female","LGBO","45","45","26690","25560"
"In post","2021","Northern Ireland","Outside London","Female","Undeclared","85","80","27940","25560"
"In post","2021","Northern Ireland","Outside London","Female","Unknown","400","355","26260","21730"
"In post","2021","Northern Ireland","Outside London","Male","Heterosexual / straight","1405","1360","28070","25040"
"In post","2021","Northern Ireland","Outside London","Male","LGBO","50","50","25860","22330"
"In post","2021","Northern Ireland","Outside London","Male","Undeclared","140","135","28250","25560"
"In post","2021","Northern Ireland","Outside London","Male","Unknown","465","455","26320","23870"
"In post","2021","Northern Ireland","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Overseas","Female","Heterosexual / straight","945","940","49570","50940"
"In post","2021","Overseas","Overseas","Female","LGBO","55","55","47100","41460"
"In post","2021","Overseas","Overseas","Female","Undeclared","140","140","45590","40330"
"In post","2021","Overseas","Overseas","Female","Unknown","360","355","49730","46620"
"In post","2021","Overseas","Overseas","Male","Heterosexual / straight","1550","1545","50130","49640"
"In post","2021","Overseas","Overseas","Male","LGBO","115","115","53650","54040"
"In post","2021","Overseas","Overseas","Male","Undeclared","230","230","48910","42110"
"In post","2021","Overseas","Overseas","Male","Unknown","355","355","52180","52430"
"In post","2021","Overseas","Overseas","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Overseas","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Outside London","Female","Heterosexual / straight","15505","14030","32150","27570"
"In post","2021","Scotland","Outside London","Female","LGBO","765","740","31780","27570"
"In post","2021","Scotland","Outside London","Female","Undeclared","2640","2325","28950","26480"
"In post","2021","Scotland","Outside London","Female","Unknown","6735","5995","29820","26120"
"In post","2021","Scotland","Outside London","Male","Heterosexual / straight","12265","11845","34260","30160"
"In post","2021","Scotland","Outside London","Male","LGBO","870","850","32810","27570"
"In post","2021","Scotland","Outside London","Male","Undeclared","1900","1820","32240","27570"
"In post","2021","Scotland","Outside London","Male","Unknown","6905","6615","31870","28870"
"In post","2021","Scotland","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","Outside London","Female","Heterosexual / straight","14990","13570","30210","27570"
"In post","2021","South East (England)","Outside London","Female","LGBO","885","850","29420","27620"
"In post","2021","South East (England)","Outside London","Female","Undeclared","2025","1820","30560","27570"
"In post","2021","South East (England)","Outside London","Female","Unknown","3395","2970","29840","27570"
"In post","2021","South East (England)","Outside London","Male","Heterosexual / straight","13950","13425","32890","29810"
"In post","2021","South East (England)","Outside London","Male","LGBO","760","740","31040","28180"
"In post","2021","South East (England)","Outside London","Male","Undeclared","2190","2085","33590","31650"
"In post","2021","South East (England)","Outside London","Male","Unknown","3560","3395","32670","29830"
"In post","2021","South East (England)","Outside London","Unknown","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","South East (England)","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","Outside London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","South West (England)","Outside London","Female","Heterosexual / straight","14940","13570","32110","27570"
"In post","2021","South West (England)","Outside London","Female","LGBO","745","715","30220","27570"
"In post","2021","South West (England)","Outside London","Female","Undeclared","2005","1795","32950","29200"
"In post","2021","South West (England)","Outside London","Female","Unknown","3735","3275","31640","27570"
"In post","2021","South West (England)","Outside London","Male","Heterosexual / straight","16065","15675","36380","33290"
"In post","2021","South West (England)","Outside London","Male","LGBO","750","730","32520","28500"
"In post","2021","South West (England)","Outside London","Male","Undeclared","2495","2400","37890","36140"
"In post","2021","South West (England)","Outside London","Male","Unknown","4450","4290","35820","32730"
"In post","2021","South West (England)","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","South West (England)","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Female","Heterosexual / straight","565","520","32640","27570"
"In post","2021","Unknown","Unknown","Female","LGBO","25","25","[c]","[c]"
"In post","2021","Unknown","Unknown","Female","Undeclared","65","60","31870","27570"
"In post","2021","Unknown","Unknown","Female","Unknown","545","525","33680","30780"
"In post","2021","Unknown","Unknown","Male","Heterosexual / straight","440","430","34470","28120"
"In post","2021","Unknown","Unknown","Male","LGBO","40","35","34140","27570"
"In post","2021","Unknown","Unknown","Male","Undeclared","55","55","33130","28010"
"In post","2021","Unknown","Unknown","Male","Unknown","2000","1995","37630","33570"
"In post","2021","Unknown","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Outside London","Female","Heterosexual / straight","14010","12590","30500","27570"
"In post","2021","Wales","Outside London","Female","LGBO","625","600","29180","26210"
"In post","2021","Wales","Outside London","Female","Undeclared","2265","1895","28270","23830"
"In post","2021","Wales","Outside London","Female","Unknown","3765","3280","26830","23320"
"In post","2021","Wales","Outside London","Male","Heterosexual / straight","9735","9440","33430","28660"
"In post","2021","Wales","Outside London","Male","LGBO","695","685","31790","27570"
"In post","2021","Wales","Outside London","Male","Undeclared","1875","1785","32270","28130"
"In post","2021","Wales","Outside London","Male","Unknown","3095","2970","30330","26780"
"In post","2021","Wales","Outside London","Unknown","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Wales","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Outside London","Unknown","Unknown","10","10","[c]","[c]"
"In post","2021","West Midlands (England)","Outside London","Female","Heterosexual / straight","11785","10630","29640","27570"
"In post","2021","West Midlands (England)","Outside London","Female","LGBO","530","505","29160","26810"
"In post","2021","West Midlands (England)","Outside London","Female","Undeclared","1385","1220","29070","27130"
"In post","2021","West Midlands (England)","Outside London","Female","Unknown","3805","3335","28310","26120"
"In post","2021","West Midlands (England)","Outside London","Male","Heterosexual / straight","8570","8340","31610","27570"
"In post","2021","West Midlands (England)","Outside London","Male","LGBO","485","470","30200","27570"
"In post","2021","West Midlands (England)","Outside London","Male","Undeclared","1120","1070","31520","27570"
"In post","2021","West Midlands (England)","Outside London","Male","Unknown","2820","2710","30940","27570"
"In post","2021","West Midlands (England)","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","West Midlands (England)","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Yorkshire and The Humber","Outside London","Female","Heterosexual / straight","13640","12140","30760","27570"
"In post","2021","Yorkshire and The Humber","Outside London","Female","LGBO","785","750","30560","27570"
"In post","2021","Yorkshire and The Humber","Outside London","Female","Undeclared","1595","1400","29640","27570"
"In post","2021","Yorkshire and The Humber","Outside London","Female","Unknown","4040","3560","29890","27570"
"In post","2021","Yorkshire and The Humber","Outside London","Male","Heterosexual / straight","10710","10350","32550","27570"
"In post","2021","Yorkshire and The Humber","Outside London","Male","LGBO","670","650","31280","27570"
"In post","2021","Yorkshire and The Humber","Outside London","Male","Undeclared","1455","1390","32350","29200"
"In post","2021","Yorkshire and The Humber","Outside London","Male","Unknown","3715","3570","30820","27570"
"In post","2021","Yorkshire and The Humber","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Yorkshire and The Humber","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","Outside London","Female","Heterosexual / straight","375","[c]","26790","22080"
"Leaver CS","2021","East Midlands (England)","Outside London","Female","LGBO","25","[c]","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","Outside London","Female","Undeclared","55","[c]","24530","21100"
"Leaver CS","2021","East Midlands (England)","Outside London","Female","Unknown","425","[c]","25050","21170"
"Leaver CS","2021","East Midlands (England)","Outside London","Male","Heterosexual / straight","360","[c]","29210","27380"
"Leaver CS","2021","East Midlands (England)","Outside London","Male","LGBO","10","[c]","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","Outside London","Male","Undeclared","65","[c]","29800","27470"
"Leaver CS","2021","East Midlands (England)","Outside London","Male","Unknown","280","[c]","26510","25640"
"Leaver CS","2021","East Midlands (England)","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East of England","Outside London","Female","Heterosexual / straight","405","[c]","28000","24180"
"Leaver CS","2021","East of England","Outside London","Female","LGBO","20","[c]","[c]","[c]"
"Leaver CS","2021","East of England","Outside London","Female","Undeclared","65","[c]","27190","24700"
"Leaver CS","2021","East of England","Outside London","Female","Unknown","470","[c]","27750","26890"
"Leaver CS","2021","East of England","Outside London","Male","Heterosexual / straight","395","[c]","32750","27570"
"Leaver CS","2021","East of England","Outside London","Male","LGBO","15","[c]","[c]","[c]"
"Leaver CS","2021","East of England","Outside London","Male","Undeclared","65","[c]","35250","32740"
"Leaver CS","2021","East of England","Outside London","Male","Unknown","345","[c]","32170","27570"
"Leaver CS","2021","East of England","Outside London","Unknown","Heterosexual / straight","10","[c]","[c]","[c]"
"Leaver CS","2021","East of England","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East of England","Outside London","Unknown","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2021","London","London","Female","Heterosexual / straight","1285","[c]","40040","32650"
"Leaver CS","2021","London","London","Female","LGBO","95","[c]","42000","33300"
"Leaver CS","2021","London","London","Female","Undeclared","185","[c]","41350","35200"
"Leaver CS","2021","London","London","Female","Unknown","1150","[c]","36750","31060"
"Leaver CS","2021","London","London","Male","Heterosexual / straight","1135","[c]","44340","36530"
"Leaver CS","2021","London","London","Male","LGBO","110","[c]","45100","40350"
"Leaver CS","2021","London","London","Male","Undeclared","195","[c]","46940","40470"
"Leaver CS","2021","London","London","Male","Unknown","1080","[c]","39770","31880"
"Leaver CS","2021","London","London","Unknown","Heterosexual / straight","40","[c]","42130","38870"
"Leaver CS","2021","London","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","London","London","Unknown","Undeclared","5","[c]","[c]","[c]"
"Leaver CS","2021","London","London","Unknown","Unknown","30","[c]","52240","42640"
"Leaver CS","2021","North East (England)","Outside London","Female","Heterosexual / straight","345","[c]","25820","21010"
"Leaver CS","2021","North East (England)","Outside London","Female","LGBO","5","[c]","[c]","[c]"
"Leaver CS","2021","North East (England)","Outside London","Female","Undeclared","35","[c]","27630","21680"
"Leaver CS","2021","North East (England)","Outside London","Female","Unknown","615","[c]","25650","21050"
"Leaver CS","2021","North East (England)","Outside London","Male","Heterosexual / straight","260","[c]","28640","21430"
"Leaver CS","2021","North East (England)","Outside London","Male","LGBO","15","[c]","[c]","[c]"
"Leaver CS","2021","North East (England)","Outside London","Male","Undeclared","35","[c]","[c]","[c]"
"Leaver CS","2021","North East (England)","Outside London","Male","Unknown","370","[c]","25260","21240"
"Leaver CS","2021","North East (England)","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North East (England)","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North East (England)","Outside London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North West (England)","Outside London","Female","Heterosexual / straight","745","[c]","27760","22570"
"Leaver CS","2021","North West (England)","Outside London","Female","LGBO","40","[c]","[c]","[c]"
"Leaver CS","2021","North West (England)","Outside London","Female","Undeclared","85","[c]","29940","24210"
"Leaver CS","2021","North West (England)","Outside London","Female","Unknown","685","[c]","26160","21180"
"Leaver CS","2021","North West (England)","Outside London","Male","Heterosexual / straight","560","[c]","29960","25780"
"Leaver CS","2021","North West (England)","Outside London","Male","LGBO","50","[c]","31220","26670"
"Leaver CS","2021","North West (England)","Outside London","Male","Undeclared","80","[c]","28040","26780"
"Leaver CS","2021","North West (England)","Outside London","Male","Unknown","520","[c]","27330","24920"
"Leaver CS","2021","North West (England)","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North West (England)","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North West (England)","Outside London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland","Outside London","Female","Heterosexual / straight","30","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland","Outside London","Female","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland","Outside London","Female","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland","Outside London","Female","Unknown","75","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland","Outside London","Male","Heterosexual / straight","35","[c]","27530","21320"
"Leaver CS","2021","Northern Ireland","Outside London","Male","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland","Outside London","Male","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland","Outside London","Male","Unknown","50","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Overseas","Overseas","Female","Heterosexual / straight","35","[c]","37420","36960"
"Leaver CS","2021","Overseas","Overseas","Female","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Overseas","Overseas","Female","Undeclared","[c]","[c]","[c]","[c]"
